threshold,accuracy,precision_class1,recall_class1,f1_class1
0.1,0.2275,0.2275,1.0,0.37067209775967414
0.12,0.2275,0.2275,1.0,0.37067209775967414
0.14,0.2275,0.2275,1.0,0.37067209775967414
0.16,0.2275,0.2275,1.0,0.37067209775967414
0.18,0.2275,0.2275,1.0,0.37067209775967414
0.2,0.2275,0.2275,1.0,0.37067209775967414
0.22,0.22666666666666666,0.2268557130942452,0.9963369963369964,0.3695652173913043
0.24,0.23333333333333334,0.22837951301427373,0.9963369963369964,0.37158469945355194
0.26,0.23666666666666666,0.2277730736663844,0.9853479853479854,0.3700137551581843
0.28,0.255,0.23209663503019845,0.9853479853479854,0.3756983240223464
0.3,0.2758333333333333,0.23392857142857143,0.9597069597069597,0.37616654702081836
0.32,0.29333333333333333,0.23404255319148937,0.9267399267399268,0.37370753323485967
0.34,0.32916666666666666,0.24174757281553397,0.9120879120879121,0.3821949347659248
0.36,0.36083333333333334,0.2479591836734694,0.8901098901098901,0.38786911412609737
0.38,0.3975,0.2559652928416486,0.8644688644688645,0.39497907949790795
0.4,0.4325,0.2638888888888889,0.8351648351648352,0.40105540897097625
0.42,0.4625,0.2692307692307692,0.7948717948717948,0.40222428174235403
0.44,0.5016666666666667,0.28010825439783493,0.7582417582417582,0.4090909090909091
0.46,0.5316666666666666,0.28335832083958024,0.6923076923076923,0.4021276595744681
0.48,0.5583333333333333,0.28689883913764513,0.6336996336996337,0.3949771689497717
0.5,0.5916666666666667,0.2964352720450281,0.5787545787545788,0.3920595533498759
0.52,0.6366666666666667,0.3184855233853007,0.5238095238095238,0.3961218836565097
0.54,0.6558333333333334,0.31958762886597936,0.4542124542124542,0.3751891074130106
0.56,0.6741666666666667,0.32335329341317365,0.3956043956043956,0.35584843492586493
0.58,0.6925,0.33448275862068966,0.3553113553113553,0.34458259325044405
0.6,0.7058333333333333,0.3387096774193548,0.3076923076923077,0.32245681381957775
0.62,0.7375,0.390625,0.27472527472527475,0.3225806451612903
0.64,0.7533333333333333,0.42483660130718953,0.23809523809523808,0.3051643192488263
0.66,0.7566666666666667,0.415929203539823,0.17216117216117216,0.24352331606217617
0.68,0.7541666666666667,0.36904761904761907,0.11355311355311355,0.17366946778711484
0.7,0.7633333333333333,0.39622641509433965,0.07692307692307693,0.12883435582822086
0.72,0.7708333333333334,0.46153846153846156,0.04395604395604396,0.0802675585284281
0.74,0.77,0.38461538461538464,0.018315018315018316,0.03496503496503497
0.76,0.7708333333333334,0.375,0.01098901098901099,0.021352313167259787
0.78,0.7708333333333334,0.25,0.003663003663003663,0.007220216606498195
0.8,0.77,0.0,0.0,0.0
0.82,0.7708333333333334,0.0,0.0,0.0
0.84,0.7708333333333334,0.0,0.0,0.0
0.86,0.7708333333333334,0.0,0.0,0.0
0.88,0.7716666666666666,0.0,0.0,0.0
0.9,0.7725,0.0,0.0,0.0
