feature,importance_mean,importance_std
payment_method,0.10456799514410514,0.010524837897923882
price_inr,0.014648700951676953,0.003934332948290128
num_previous_returns,0.011779020991060173,0.002529943645839218
discount_pct,0.011422962033473531,0.003499965005222291
delivery_days,0.007732643358376513,0.0057104801338054845
product_category,0.0057877330056336634,0.004589818239127413
delivery_distance_km,0.005198381090419403,0.005231392245305861
rating_given,0.0040987379854836095,0.0018295330176258033
num_previous_orders,0.0033938686102751234,0.004233287221769556
customer_tenure_days,0.0021316396530713724,0.003775488572705424
is_weekend_order,0.0017727317452077562,0.0008440218593043127
